datetime,write latency,read latency,total messages read,write latency,total messages written,read minus write latency,latency per message
2025-07-01 22:01:03.935,0.000982,33.175049,560,0.000982,2909,33.174067,0.059241
2025-07-01 22:02:00.794,0.000750,6.691891,554,0.000750,202,6.691141,0.012079
2025-07-01 22:02:10.795,0.001018,6.691891,554,0.001018,2881,6.690873,0.012079
2025-07-01 22:03:06.747,0.001547,5.267684,523,0.001547,2749,5.266137,0.010072
2025-07-01 22:03:58.756,0.001258,3.578905,483,0.001258,510,3.577647,0.007410
2025-07-01 22:05:04.750,0.001147,3.015549,490,0.001147,2598,3.014402,0.006154
2025-07-01 22:06:01.315,0.001200,4.374803,569,0.001200,1005,4.373603,0.007688
2025-07-01 22:06:11.316,0.001599,4.374803,569,0.001599,2926,4.373204,0.007688
2025-07-01 22:07:07.643,0.001635,5.951190,515,0.001635,2675,5.949555,0.011556
2025-07-01 22:08:00.687,0.001302,1.849479,486,0.001302,2437,1.848177,0.003805
2025-07-01 22:09:07.304,0.001161,3.193693,533,0.001161,2661,3.192532,0.005992
2025-07-01 22:10:03.093,0.000924,1.720506,490,0.000924,2592,1.719582,0.003511
2025-07-01 22:11:06.010,0.001142,2.052934,520,0.001142,2629,2.051792,0.003948
2025-07-01 22:12:01.835,0.001299,1.900097,555,0.001299,2876,1.898798,0.003423
2025-07-01 22:13:07.650,0.001609,2.465038,540,0.001609,2849,2.463429,0.004565
2025-07-01 22:14:00.562,0.000973,1.494858,547,0.000973,633,1.493885,0.002733
2025-07-01 22:15:06.387,0.001241,1.446221,476,0.001241,2540,1.444980,0.003038
2025-07-01 22:16:02.430,0.001256,1.798416,501,0.001256,2566,1.797160,0.003589
2025-07-01 22:17:08.999,0.001158,4.941950,543,0.001158,2866,4.940792,0.009101
2025-07-01 22:18:02.114,0.001244,1.599410,552,0.001244,2877,1.598166,0.002897
2025-07-01 22:19:08.289,0.000781,1.064034,550,0.000781,2749,1.063253,0.001934
2025-07-01 22:20:04.469,0.000738,26.037577,554,0.000738,311,26.036839,0.047000
2025-07-01 22:20:14.469,0.000697,26.037577,554,0.000697,881,26.036880,0.047000
2025-07-01 22:20:24.470,0.000748,26.037577,554,0.000748,1685,26.036829,0.047000
2025-07-01 22:20:37.599,0.000821,26.037577,554,0.000821,2837,26.036756,0.047000
2025-07-01 22:21:10.939,0.000687,4.806436,522,0.000687,2698,4.805749,0.009208
2025-07-01 22:22:04.081,0.002043,3.810074,520,0.002043,2705,3.808031,0.007327
2025-07-01 22:23:10.683,0.001686,3.159516,546,0.001686,2823,3.157830,0.005787
2025-07-01 22:24:03.706,0.001377,4.340405,545,0.001377,2753,4.339028,0.007964
2025-07-01 22:25:09.575,0.001678,4.337217,530,0.001678,2837,4.335539,0.008183
2025-07-01 22:26:05.114,0.000902,3.014539,535,0.000902,2702,3.013637,0.005635
2025-07-01 22:27:11.149,0.000638,10.681176,521,0.000638,2639,10.680538,0.020501
2025-07-01 22:28:04.578,0.000848,2.496761,490,0.000848,2584,2.495913,0.005095
2025-07-01 22:29:00.986,0.001026,1.512966,533,0.001026,904,1.511940,0.002839
2025-07-01 22:29:10.987,0.001086,1.512966,533,0.001086,2724,1.511880,0.002839
2025-07-01 22:30:07.484,0.000804,5.112106,506,0.000804,2601,5.111302,0.010103
2025-07-01 22:31:00.713,0.000839,2.538189,506,0.000839,1513,2.537350,0.005016
2025-07-01 22:32:06.514,0.000851,1.712474,522,0.000851,2713,1.711623,0.003281
2025-07-01 22:33:02.351,0.000943,1.609163,519,0.000943,2665,1.608220,0.003101
2025-07-01 22:34:08.192,0.000818,1.313111,583,0.000818,2985,1.312293,0.002253
2025-07-01 22:35:01.124,0.000895,1.552575,496,0.000895,2569,1.551680,0.003130
2025-07-01 22:36:06.977,0.000825,1.398718,524,0.000825,2751,1.397893,0.002669
2025-07-01 22:37:12.835,0.000895,4.501488,468,0.000895,2521,4.500593,0.009619
2025-07-01 22:38:06.021,0.001094,1.458845,492,0.001094,2562,1.457751,0.002965
2025-07-01 22:39:02.561,0.000862,1.056830,457,0.000862,2481,1.055968,0.002312
2025-07-01 22:40:08.536,0.000861,1.234845,492,0.000861,2549,1.233984,0.002510